Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
26,0.5,17.5,109.40510840003844,109.90392419998534,109.90392419998534,109.90392419998534,110.205268300022,right,17.5,1,1,892.9890804999741,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
27,0.5,17.5,110.40476950001903,110.90498870005831,110.90498870005831,110.90498870005831,,left,-17.5,0,0,892.5444458000129,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
28,0.5,18.0,110.9544655000791,111.45452769997064,111.45452769997064,111.45452769997064,111.7552245000843,left,-18.0,0,0,895.0105154999765,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
29,0.5,18.5,113.97115990007296,114.47130510001443,114.47130510001443,114.47130510001443,114.78781620005611,right,18.5,1,1,894.4932183999335,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
30,0.5,18.5,116.47211099998094,116.97218659997452,116.97218659997452,116.98820949997753,117.2866419000784,right,18.5,0,0,893.5088302998338,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
31,0.5,19.0,117.98643799999263,118.4871870999923,118.4871870999923,118.4871870999923,118.78613869997207,left,-19.0,0,0,894.9594625999453,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
32,0.5,19.5,120.95167850004509,121.45298070006538,121.45298070006538,121.45298070006538,,left,-19.5,0,0,892.6010319999186,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
33,0.5,20.0,121.56917400006205,122.06936159997713,122.06936159997713,122.06936159997713,,left,-20.0,0,0,892.7774905998958,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
34,0.5,20.0,122.35173640004359,122.8514466000488,122.8514466000488,122.8514466000488,,right,20.0,1,1,892.775447199936,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
35,0.5,20.0,123.13556970003992,123.63715219998267,123.63715219998267,123.63715219998267,123.95240589999594,left,-20.0,0,0,892.8604177999077,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
36,0.5,20.0,124.00325880001765,124.50132949999534,124.50132949999534,124.50132949999534,124.80136849998962,left,-20.0,1,1,894.1184015999315,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
37,0.5,20.0,126.13476839999203,126.63645049999468,126.63645049999468,126.63645049999468,126.95180590008385,left,-20.0,0,0,893.0594554998679,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
38,0.5,20.0,127.20180530007929,127.70148020004854,127.70148020004854,127.70148020004854,128.00090440001804,left,-20.0,0,0,894.8032932998613,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
39,0.5,20.0,130.01740180002525,130.51714979996905,130.51714979996905,130.51714979996905,,right,20.0,1,1,892.5278757999185,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
40,0.5,20.0,130.55035789997783,131.05014230008237,131.05014230008237,131.05014230008237,131.34974239999428,left,-20.0,1,1,898.3229657999473,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
41,0.5,20.0,136.88244319998194,137.38267970003653,137.38267970003653,137.3994357000338,,right,20.0,1,1,892.6086604999145,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
42,0.5,19.5,137.49833780003246,137.99901749996934,137.99901749996934,137.99901749996934,138.29792729998007,right,19.5,1,1,893.3940866998164,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
43,0.5,19.5,138.8979542000452,139.398369200062,139.398369200062,139.398369200062,139.69775689998642,right,19.5,1,1,893.3991651999531,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
44,0.5,19.5,140.31424500001594,140.81443720008247,140.81443720008247,140.81443720008247,,right,19.5,1,1,892.7444277999457,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
45,0.5,19.0,141.06465409998782,141.56387389998417,141.56387389998417,141.56387389998417,141.86404490005225,left,-19.0,0,0,894.3607918998459,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
46,0.5,19.5,143.4309091999894,143.93105770007242,143.93105770007242,143.93105770007242,144.2304080000613,left,-19.5,0,0,893.0599288999802,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
47,0.5,20.0,144.49742300005164,144.99675519997254,144.99675519997254,144.99675519997254,145.2962437000824,right,20.0,1,1,892.8445118999807,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
48,0.5,20.0,145.34738040005323,145.84686060005333,145.84686060005333,145.84686060005333,,right,20.0,1,1,892.6103180998471,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
49,0.5,20.0,145.9634381000651,146.46365330007393,146.46365330007393,146.46365330007393,,right,20.0,1,1,892.5250639999285,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
